Datetime,User,Tweet,Clean_Tweet,Sentiment
2025-04-25 19:39:16+00:00,1574373667617792000,"@iifoundanna Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:39:10+00:00,1103846360594427905,"@Jules31415 @ClownWorld_ Good question, what in the actual f—k! We got a serious mental health problem in this country and asylums should be reopened for folks like this.",good question actual f k got serious mental health problem country asylums reopened folks like,Positive
2025-04-25 19:39:08+00:00,1574373667617792000,"@theawakecoach Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:39:07+00:00,1797382750107824128,@barllymarma For your own mental health,mental health,Neutral
2025-04-25 19:39:05+00:00,19654115,"BIG NEWS!  The Can We Talk? Youth Symposium &amp; Joy Salons is coming to Oxon Hill High — where @tarajiphenson went to school! 💚

This day is all about YOU — the students. A safe, fun space to talk about mental health, heal, and vibe.

🎤 With @michaelraineyjr + kingjaybarnett
🎨 https://t.co/jbf3X7tEJo",big news talk youth symposium amp joy salons coming oxon hill high went school day students safe fun space talk mental health heal vibe kingjaybarnett,Positive
2025-04-25 19:38:47+00:00,561518717,"The state of this left wing idiot 🤦‍♂️ 

Apparently we have 2 years left according to this clown, 😂 

If this happens why have we and still spending so much tax payers money on solar? Isn’t that a bit counter productive?
😂 anyone who agrees with this nonsense needs mental health https://t.co/upV4PYrJFT",state left wing idiot apparently 2 years left according clown happens still spending much tax payers money solar bit counter productive anyone agrees nonsense needs mental health,Negative
2025-04-25 19:38:33+00:00,1581071693681815553,@bigfyi1666791 @ace02222 @SonVictor33 @Alchemist8565 i dont take mental health lightly but you should consider killing yourself,dont take mental health lightly consider killing,Negative
2025-04-25 19:38:32+00:00,1404803075966177294,People love to say I wish my mother was here so I can argue with her. Sorry for your loss but what does that have to do with my mother destroying my mental and emotional health constantly,people love say wish mother argue sorry loss mother destroying mental emotional health constantly,Neutral
2025-04-25 19:38:32+00:00,1747590685006405632,@barbiecuefish E no go better for Davido and his mental  health,e go better davido mental health,Positive
2025-04-25 19:38:28+00:00,1574373667617792000,"@NickTaber Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:38:25+00:00,1459793692701732869,Please Check In With Your Loved Ones…You Never Know Who Is Silently Struggling With Their Mental Health And Feeling Alone. https://t.co/pEuoCs0nc9,please check loved ones never know silently struggling mental health feeling alone,Positive
2025-04-25 19:38:22+00:00,1739828792170819584,@barbiecuefish Shey him self no think about our mental health before e drop 4lop,shey self think mental health e drop 4lop,Negative
2025-04-25 19:37:59+00:00,871679250,"@Conservalb Was the event advertised as a  comedy show, or a fundraiser for mental health awareness?",event advertised comedy show fundraiser mental health awareness,Positive
2025-04-25 19:37:58+00:00,1815470226185842688,"Sugar &amp; Spice had career days for the kids, the one kid was an advocate for mental health, the mommies were at sports days for the kids, the one kid wanted to be a pilot, we've seen these kids go to school and their uniform, the one kid was job shadowing

#MommyClubShowmaxS3",sugar amp spice career days kids one kid advocate mental health mommies sports days kids one kid wanted pilot seen kids go school uniform one kid job shadowing mommyclubshowmaxs3,Neutral
2025-04-25 19:37:50+00:00,1892028134188523520,"@JonathanShedler Absolutely. Well pointed out! While I’m not a mental health provider but being fully immersed in the space, sometimes it can also be quite confusing. Researching can only help so much and when someone isn’t well, they have more to bear than someone just researching “just",absolutely well pointed mental health provider fully immersed space sometimes also quite confusing researching help much someone well bear someone researching,Positive
2025-04-25 19:37:48+00:00,1604506920890830850,@kikisbubble 2020 for me.. my mental health was shit back then 😭😭😭,2020 mental health shit back,Negative
2025-04-25 19:37:47+00:00,1886594795511939072,"Friday Mental Health Check. How's your mental health today. Mine is mehhh....
https://t.co/PJdn2muTfR https://t.co/fpzMm0lZ17",friday mental health check mental health today mine mehhh,Neutral
2025-04-25 19:37:43+00:00,1889417131198181376,"@911TVNEWS This accounts presence in the fandom has only led to more divineness and everyone knows it. It's a good time for you to close it down, and I very much hope you do. It sounds like it would also be a massive boon to your mental health and I wish you well.",accounts presence fandom led divineness everyone knows good time close much hope sounds like would also massive boon mental health wish well,Positive
2025-04-25 19:37:33+00:00,1151336941,"@Habs_Fan_NJ That’s gotta be fake, he acutely do this? This guy did bowling for columbine &amp; it was great. Before mental health was truly being addressed, gun control issue in US still a thing but I respect more then most would about your rights to bare arms. 

What a fuckin loser if real",gotta fake acutely guy bowling columbine amp great mental health truly addressed gun control issue us still thing respect would rights bare arms fuckin loser real,Positive
2025-04-25 19:37:23+00:00,994567826508836864,"#WilliamEst short Dribble/AU : They didn’t want to move. but they held on anyway.

(I went to sleep but I couldn't I HAD TO WRITE THIS FOR MY MENTAL HEALTH AND I BLAME THEM FOR THESE PICS) HEDHJSJS

AO3. Link: ⭐https://t.co/BnvS5h9BLF ⭐ https://t.co/1z8PBRTcrm",williamest short dribble au want move held anyway went sleep write mental health blame pics hedhjsjs ao3 link,Negative
2025-04-25 19:37:15+00:00,1822509416614154240,@AntiWokeMemes Please seek mental health counseling,please seek mental health counseling,Positive
2025-04-25 19:37:09+00:00,1534594290638372864,"i get fucking irritated whenever my mum shows the littlest concern about my mental health or my life in general because where were you when i needed all that love and concern?
no fucking where, you were feeding your husband with so much ego even when he was in the wrong.
dfpmo",get fucking irritated whenever mum shows littlest concern mental health life general needed love concern fucking feeding husband much ego even wrong dfpmo,Negative
2025-04-25 19:37:00+00:00,32302688,"“Cumulative associations between health behaviours, mental well-being, and health over 30 years” by Tiia Kekäläinen et al. Annals of Medicine

https://t.co/ZvyyiUVhdQ",cumulative associations health behaviours mental well health 30 years tiia kekäläinen et al annals medicine,Positive
2025-04-25 19:37:00+00:00,1486061705230757894,"#PokemonGO/#PokemonGOApp/#ポケモンGO/#ポケモンGOアプリ/ #PokeGO / #PokGO / #ポケGO / #Pokemon
#ポケモン交換
PokemonGO has a sigma as well. But, it has been research that proved PokemonGO does help with autism and some mental health ( not all ). This is my way of being awareness",pokemongo pokemongoapp ポケモンgo ポケモンgoアプリ pokego pokgo ポケgo pokemon ポケモン交換 pokemongo sigma well research proved pokemongo help autism mental health way awareness,Positive
2025-04-25 19:36:56+00:00,1217180897960775680,"@SeeRacists They just sitting there recording
 I would have driven off with him screaming and hollering. Mental health is not their career field.",sitting recording would driven screaming hollering mental health career field,Negative
2025-04-25 19:36:56+00:00,1755975432707436544,"@dazzybtv I can't even make them my baby mama in this community, my children's mental health is valuable to me and even my values",even make baby mama community children mental health valuable even values,Positive
2025-04-25 19:36:55+00:00,1560634739660181512,"I'm not at my best mental health condition right now. life is loaded with burdens and pressure, until the point where I don't find my favorite things exciting. lately, I didn't ask for much. I wake up everyday just wanting and hoping to be okay.",best mental health condition right life loaded burdens pressure point find favorite things exciting lately ask much wake everyday wanting hoping okay,Positive
2025-04-25 19:36:55+00:00,1095520531728740352,"Once a job negatively impacts my emotions, mental health, and finances, I will find another job immediately. I work too hard to get where I am at in my life",job negatively impacts emotions mental health finances find another job immediately work hard get life,Negative
2025-04-25 19:36:46+00:00,1812264158554968065,@nypost You people need to seek mental health help.,people need seek mental health help,Positive
2025-04-25 19:36:45+00:00,1541539987824541702,"Without good health, nothing else truly matters. Prioritizing self-care, making healthy choices, and maintaining both physical and mental well-being should always come first. After all, you can't pour from an empty cup!",without good health nothing else truly matters prioritizing self care making healthy choices maintaining physical mental well always come first pour empty cup,Positive
2025-04-25 19:36:45+00:00,1116731857717137408,"🚨 Don't miss it! For NY Superintendents and Administrators Only! Effective School Solutions is now an official Erie 2 BOCES service option for Mental &amp; Behavioral Health, eligible for BOCES aid in 2025-2026!
Session 1 - https://t.co/RxZUap1e4y
Session 2 - https://t.co/A1a1uxncB7 https://t.co/ZOSrT3Lnz7",miss ny superintendents administrators effective school solutions official erie 2 boces service option mental amp behavioral health eligible boces aid 2025 2026 session 1 session 2,Positive
2025-04-25 19:36:36+00:00,1278366650497024001,"✅ Encourage workplaces to support men’s mental health
✅ Media must stop mocking male pain
✅ Promote fathers' rights post-divorce
✅ Build empathy — not shame — around men’s emotions ❤️",encourage workplaces support men mental health media must stop mocking male pain promote fathers rights post divorce build empathy shame around men emotions,Negative
2025-04-25 19:36:35+00:00,1161128233,"@IronEconomist studies have shown that pilling families on top of each other is horrible for mental health.

https://t.co/GabOiElvHz",studies shown pilling families top horrible mental health,Negative
2025-04-25 19:36:34+00:00,32302688,"1 - Early Impact: Unhealthy habits already harm physical and mental health by age 36.
2 - Cumulative Risk: Long-term engagement in smoking, drinking, and inactivity worsens health outcomes.
3 - Behavior-Specific Effects: Smoking primarily affects mental health, inactivity impacts",1 early impact unhealthy habits already harm physical mental health age 36 2 cumulative risk long term engagement smoking drinking inactivity worsens health outcomes 3 behavior specific effects smoking primarily affects mental health inactivity impacts,Negative
2025-04-25 19:36:33+00:00,1472137118918975491,"sa huli i just want to prioritize myself muna, its not only taking a toll on my mental health, but its also affecting how i see myself because of d things u said. i dont deserve to b treated dis way tsaka, i never asked anything from u, n u know that.gusto ko lg peace between us",sa huli want prioritize muna taking toll mental health also affecting see things u said dont deserve b treated dis way tsaka never asked anything u n u know gusto ko lg peace us,Positive
2025-04-25 19:36:33+00:00,1496194289034010629,"But fr una Dey bully osakpolo and he no Good. Una no even Dey think about he mental health, na so una wick€d?? 😭😭😂😂😂😂😂😂😂",fr una dey bully osakpolo good una even dey think mental health na una wick,Negative
2025-04-25 19:36:32+00:00,1329806091052527617,"Credentials, salaries, NDAs and much more were discussed in yesterday's special legislative committee meeting on Oklahoma Dept of Mental Health finances. https://t.co/Y71hrT9ssz",credentials salaries ndas much discussed yesterday special legislative committee meeting oklahoma dept mental health finances,Positive
2025-04-25 19:36:26+00:00,1278366650497024001,"🙏Shocking stats from India (NCRB 2022):

1,70,000+ suicides🔥

72% were MEN💥

Most common reasons?👇

✔️Family issues

✔️Marital problems

✔️Financial stress

This is a mental health crisis we can’t ignore.",shocking stats india ncrb 2022 1 70 000 suicides 72 men common reasons family issues marital problems financial stress mental health crisis ignore,Negative
2025-04-25 19:36:25+00:00,1278366650497024001,"🔥Men are silently suffering

They don’t talk about their pain💥

They’re expected to “man up.”

✝️But the data is screaming — and it’s time we listen

🙏Let’s talk about men’s mental health &amp; relationships.

Like and Share with all so that men awareness increases

(A thread) 🧵 https://t.co/izMrUdkB2H",men silently suffering talk pain expected man data screaming time listen let talk men mental health amp relationships like share men awareness increases thread,Negative
2025-04-25 19:36:23+00:00,1882198073168080896,"@MiddleClassAdmi @Gkmastrology Hey! For Cancer rising folks, May 2025 brings some big shifts-Jupiter moves into your 12th house, highlighting themes like spirituality, foreign travel, and introspection, but also increased expenses and a need to prioritize rest and mental health. 

At the same time, Rahu",hey cancer rising folks may 2025 brings big shifts jupiter moves 12th house highlighting themes like spirituality foreign travel introspection also increased expenses need prioritize rest mental health time rahu,Negative
2025-04-25 19:36:21+00:00,1307108814991364097,Yesterday was a shitty day for my mental health and depression but I manage to take a decent shot. https://t.co/bRuQLIASlA,yesterday shitty day mental health depression manage take decent shot,Negative
2025-04-25 19:36:19+00:00,405566049,"@MarkJCarney You spent half your life out of Canada and had to re learn to skate, your going to push transgender on Canadians instead of getting your it mental health treatment . Your fingerprints are all over the debt and will move to Alberta and support independent Alberta and fuck CDN",spent half life canada learn skate going push transgender canadians instead getting mental health treatment fingerprints debt move alberta support independent alberta fuck cdn,Negative
2025-04-25 19:36:18+00:00,1867870483678711808,"What we know about Phoenix Ikner, the Florida State University shooting suspect
The layers of this case – the alleged self-harm, the cryptic social media posts, the potential for mental health crisis – feel disturbingly familiar. It's a chilling remi...
https://t.co/EIeJn63hsw",know phoenix ikner florida state university shooting suspect layers case alleged self harm cryptic social media posts potential mental health crisis feel disturbingly familiar chilling remi,Negative
2025-04-25 19:35:44+00:00,1546091256962580480,"@tonwontonwon I hold eth, avoid it for your mental health",hold eth avoid mental health,Negative
2025-04-25 19:35:40+00:00,32302688,"These 3 Bad Habits in Your 30s Impact Later Mental Health

A decades-long study in Finland reveals that smoking, heavy drinking, and physical inactivity in early adulthood are strongly linked to declining physical and mental health by age 36.

https://t.co/91EQF2NI38",3 bad habits 30s impact later mental health decades long study finland reveals smoking heavy drinking physical inactivity early adulthood strongly linked declining physical mental health age 36,Negative
2025-04-25 19:35:37+00:00,1820951444192948225,"@Merica197138 “I know Sergeant Cooper personally, I have his direct number, it’s 911. I’m currently training to be a police officer with my Astrophysics degree that I am getting while I’m staying in the mental health hospital that I just recently escaped from.” 

Who breeds these people? 🙄",know sergeant cooper personally direct number 911 currently training police officer astrophysics degree getting staying mental health hospital recently escaped breeds people,Positive
2025-04-25 19:35:36+00:00,1574373667617792000,"@LouisWoodhill Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:35:30+00:00,1574373667617792000,"@Lawlstar1 @jawn211 @SShield66033827 @Alphafox78 Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:35:27+00:00,1912146037894180864,"Trading in rare collectibles has become a lucrative game for some, but at what cost to one's mental health and relationships?",trading rare collectibles become lucrative game cost one mental health relationships,Neutral
2025-04-25 19:35:25+00:00,1507113533401710596,"Call Gov. Whitmer 517-335-7858 &amp; say thank you on behalf of protein deficient children. Thanks to Whitmer's concern for the mental health of chickens, eggs are still above $5 in most Michigan grocery stores. Not that she gives a damn really. Enjoy your dinner.",call gov whitmer 517 335 7858 amp say thank behalf protein deficient children thanks whitmer concern mental health chickens eggs still 5 michigan grocery stores gives damn really enjoy dinner,Positive
2025-04-25 19:35:19+00:00,1424772268723482625,@benonwine At a mental health facility maybe,mental health facility maybe,Neutral
2025-04-25 19:35:15+00:00,1507113533401710596,"Call Gov. Whitmer 517-335-7858 &amp; say thank you on behalf of protein deficient children. Thanks to Whitmer's concern for the mental health of chickens, eggs are still above $5 in most Michigan grocery stores. Not that she gives a damn really. Enjoy your dinner. https://t.co/iMY2YQ59OG",call gov whitmer 517 335 7858 amp say thank behalf protein deficient children thanks whitmer concern mental health chickens eggs still 5 michigan grocery stores gives damn really enjoy dinner,Positive
2025-04-25 19:35:15+00:00,1023505758351253504,@DragonQueen55 @Marianne124124 @doqholliday You all need to see a professional and get help. I worked in the mental health field these are symptoms of schizophrenia.,need see professional get help worked mental health field symptoms schizophrenia,Positive
2025-04-25 19:35:12+00:00,1574373667617792000,"@michaelpollan Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:35:05+00:00,2211705590,@raven00444 I've never had anyone care about my mental health,never anyone care mental health,Negative
2025-04-25 19:35:04+00:00,940895772559646721,Mental health is also important https://t.co/ncUDW3t8oh,mental health also important,Positive
2025-04-25 19:35:04+00:00,47473766,ELKO — Federal cuts to the Nevada Division of Public and Behavioral Health’s community mental health services block grant are hitting home in Elko County with the elimination of two https://t.co/yhFVHZ7jaB,elko federal cuts nevada division public behavioral health community mental health services block grant hitting home elko county elimination two,Negative
2025-04-25 19:35:01+00:00,40296265,U.S. Health department denies plans for autism registry despite NIH director's comments https://t.co/6Up2jxfLL6,u health department denies plans autism registry despite nih director comments,Negative
2025-04-25 19:34:59+00:00,1574373667617792000,"@TeslaCuyahoga @michaelpollan Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:34:54+00:00,1303819115522650112,"@drtexdi @GMartyn_Lewis @WatcherGuru I speak Spanish with no regard because I’m a citizen, but you will never stop being a deranged white liberal woman who probably has mental health issues.",speak spanish regard citizen never stop deranged white liberal woman probably mental health issues,Positive
2025-04-25 19:34:50+00:00,3141788489,"@NiniBela1 I find it puzzling that some people are so against the idea of children getting mental health help when we know that childhood anxiety and depression are precursors to adolescent mental illness, and so on to adulthood.",find puzzling people idea children getting mental health help know childhood anxiety depression precursors adolescent mental illness adulthood,Negative
2025-04-25 19:34:39+00:00,32302688,"These 3 Bad Habits in Your 30s Impact Later Mental Health

A decades-long study has shown that unhealthy habits like smoking, heavy drinking, and physical inactivity are linked to poorer mental and physical health outcomes starting as early as age 36.

Researchers followed a https://t.co/OMaDXPaU9f",3 bad habits 30s impact later mental health decades long study shown unhealthy habits like smoking heavy drinking physical inactivity linked poorer mental physical health outcomes starting early age 36 researchers followed,Negative
2025-04-25 19:34:23+00:00,582279079,"Let them keep the non-apology, while you keep your growth and peace.
Your mental health is more important than their drama and ego.
• Prov. 17:11",let keep non apology keep growth peace mental health important drama ego prov 17 11,Positive
2025-04-25 19:34:22+00:00,1858113986417336320,"@Mubuu__ @jubjubnim @aestaykittypoom @kramermaria17 @perthsantafever @DnNette8576 @ByPassionfor @_PSitsJazmine @MajokAjoh @vienny_01 @purpleskie_ @simplyends_ @PS_ANNE_ @HyunlixWorld8 @B7OBsqrl @santapeachypie @Bugs_Bunny0325 @justnobody_97 @IsTanaponTaa @ps_eca76786 @BeyyyBB_ @beautyyellowfl1 @uaresonarak_ @SantaInc @mallaxall @JiminSuga818901 @yi_fani @KEKW497 @Alice41367751 @AiRim170 @ayxzyelin @emilvsps @88_psmagic @carmen_doc0730 @lunaxeps @PS__forever_ @dearmooniibee @SpicezFanz These edits are important for ones mental health dululu.
PERTHSANTA AT COMMAAND
#CommaAndxPerthSanta
#PerthSanta",edits important ones mental health dululu perthsanta commaand commaandxperthsanta perthsanta,Positive
2025-04-25 19:34:17+00:00,1717472158199255040,"Day 76: Mental Health Hospital CHRONICLES of a sane-crazy girl 

So many people have gone and swapped with new patient arrivals. Its never been so hectic in my nearly 11 weeks (thats 11 weeks tomorrow 🤭). Mental Health is such a broad spectrum of different illnesses and because https://t.co/H7XX4F7hzZ https://t.co/l6wtaHlRKT",day 76 mental health hospital chronicles sane crazy girl many people gone swapped new patient arrivals never hectic nearly 11 weeks thats 11 weeks tomorrow mental health broad spectrum different illnesses,Negative
2025-04-25 19:34:10+00:00,1574373667617792000,"@bforestphoto @michaelpollan Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:34:07+00:00,1446716888998813696,@_iBeingPasha @aliabbaszafar Only duo which can fix my mental health 😔❤,duo fix mental health,Neutral
2025-04-25 19:33:53+00:00,1658935575087284225,Severe mental health decline that causes you to completely 180 ur life + a nap from 10-2 https://t.co/31XZusWR5z,severe mental health decline causes completely 180 ur life nap 10 2,Negative
2025-04-25 19:33:51+00:00,774132344,"🎨 Calling all young artists! Youth Force Halton - Woodview's youth engagement group in Halton - invites you to Art Avenue, a youth-led art show all about mental health, happening June 3rd at The Hub at Burlington Centre!

📍 5:00–9:00 PM @BurlingtonCentreCanada https://t.co/5f5oRiYjnK",calling young artists youth force halton woodview youth engagement group halton invites art avenue youth led art show mental health happening june 3rd hub burlington centre 5 00 9 00 pm,Positive
2025-04-25 19:33:51+00:00,1912876828647362560,"One beautiful healthy baby. 176BPM 
Losing one of my babies has done a number to my mental health. I spent yesterday crying, I've been told a lot to be thankful that I still have my healthy baby, I am, but, that doesn't take away from the hurt of losing my second baby. https://t.co/CJ0JOAetNa",one beautiful healthy baby 176bpm losing one babies done number mental health spent yesterday crying told lot thankful still healthy baby take away hurt losing second baby,Positive
2025-04-25 19:33:42+00:00,1574373667617792000,"@Sharxfn Microdosing psilocybin has a lot of health benefits it help's getting rid of mental health and chronic pain issues, depression, anxiety,fibromyalgia it helps improve focus and creativity, contact @drlynchs he’s a prof in the field, he’s got all Psyche meds &amp; acids",microdosing psilocybin lot health benefits help getting rid mental health chronic pain issues depression anxiety fibromyalgia helps improve focus creativity contact prof field got psyche meds amp acids,Positive
2025-04-25 19:33:40+00:00,966609220316663810,taken care of your diet or sleep or mental health all this while,taken care diet sleep mental health,Positive
2025-04-25 19:33:30+00:00,1062069097507274753,"If your mental health depends on a TV show

Girl, you need help.
It's just a TV show. https://t.co/x074Q9zmxv",mental health depends tv show girl need help tv show,Positive
2025-04-25 19:33:30+00:00,135407912,"If I stream too much my mental health gets in the way too. I really enjoy streaming and making content, I just need to look after myself
2/2",stream much mental health gets way really enjoy streaming making content need look 2 2,Positive
2025-04-25 19:33:28+00:00,242980801,$CBDL CBD Life Sciences Inc. (CBDL) Announces Groundbreaking 100MG Full Spectrum CBD Gummy Geared Toward Mental Health &amp; Focus | CBDL Stock News https://t.co/Yf3s3VwjkU @CBDL_StockOTC @OTCMarkets @MrSamuelPowers https://t.co/K7ESS8qIQO,cbdl cbd life sciences inc cbdl announces groundbreaking 100mg full spectrum cbd gummy geared toward mental health amp focus cbdl stock news,Neutral
2025-04-25 19:33:27+00:00,3023398943,"@MNThinkTank First cuts is Tubby Timmy, his wife and the two kids.  They don't need government assistance unless it's mental health assistance",first cuts tubby timmy wife two kids need government assistance unless mental health assistance,Negative
